busybox,5310,2.33
mtd-utils,4816,7.97
util-linux,3277,5.95
iproute2,2598,1.83
wireless-tools,2092,2.42
iptables,1799,1.26
net-snmp,1547,2.27
binutils,1161,5.05
poptop,1152,1.90
dnsmasq,1049,1.03
xl2tpd,941,1.13
samba,913,2.12
libtiff,882,21.00
hostapd,878,1.53
wpa_supplicant,872,1.55
kbd,838,19.49
procps,809,2.58
dbus,746,4.12
miniupnp,718,1.04
sysstat,700,2.51
e2fsprogs,697,3.59
bluez,686,6.07
igmpproxy,614,1.00
ntfs-3g,607,1.30
tcpdump,602,1.01
frrouting,594,1.16
pppoe,574,1.44
libnl,530,10.00
i2c-tools,427,4.40
coreutils,401,44.56
netatalk,394,3.94
lldp,389,1.64
udhcp,360,1.34
lighttpd,337,1.35
avahi,327,1.97
minidlna,325,1.00
nfs-utils,302,2.99
lantiq,237,1.11
isc dhcp,229,1.22
linux-ntfs,224,2.87
zip,209,4.54
lrzsz,201,1.86
ncurses,200,4.65
inetutils,189,1.23
transmission,148,1.72
wred,133,2.96
net-tools,129,1.45
alsa,124,3.35
wget,122,1.01
dosfstools,113,1.00
bzip2,107,1.19
tftp-hpa,88,1.09
perl,83,1.36
php,80,1.60
freeradius,69,1.92
open-plc-utils,50,10.00
iputils,44,1.47
fontconfig,40,8.00
module-init-tools,16,4.00
xfsprogs,15,3.00
nettle,15,3.00
exfat,11,2.20
mysql,5,2.50
appweb,4,2.00
docker,3,3.00
