component,360,asus,buffalo,dlink,foscam,linksys,mercury,mikrotik,netgear,qnap,supermicro,synology,tenda,tomato-shibby,tp-link,trendnet,ubiquiti,xerox
busybox,38,244,12,7238,4,60,1,126,10419,14,412,225,882,313,5544,5160,25256,57
mtd-utils,266,1708,44,3234,0,180,0,0,4530,133,309,1215,3822,939,13608,3612,14924,152
util-linux,38,122,0,5698,0,80,4,42,3322,0,103,0,147,939,9072,6364,21238,437
net-snmp,0,0,4,308,0,0,0,42,302,49,309,0,147,313,9072,3612,10906,0
binutils,19,0,0,3388,0,40,0,0,604,0,0,0,147,313,2016,3784,12628,95
e2fsprogs,0,122,0,924,0,40,0,84,1057,0,206,495,441,1565,5544,344,2870,228
avahi,0,61,0,154,0,200,0,0,1812,7,0,0,0,2191,3528,172,2870,0
procps,0,0,0,616,0,0,0,0,1963,0,0,0,147,313,1008,516,6314,114
libtiff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10584,0,0,0
iptables,57,61,8,770,0,40,1,0,755,7,103,45,441,939,3528,860,2870,19
