360,20,20,1.00,20,1.00
Asus,332,332,1.00,332,1.00
Buffalo,8,8,1.00,8,1.00
Dlink,1035,557,0.54,557,1.00
Foscam,102,102,1.00,102,1.00
Linksys,28,27,0.96,27,1.00
Mercury,324,324,1.00,324,1.00
Microstrain,3,3,1.00,0,0.00
Mikrotik,55,55,1.00,55,1.00
Netgear,377,245,0.65,159,0.65
Qnap,355,335,0.94,335,1.00
Se,48,32,0.67,32,1.00
Supermicro,549,439,0.80,133,0.30
Synology,61,61,1.00,61,1.00
Tenda,318,318,1.00,318,1.00
Ti,12,11,0.92,11,1.00
Tomato-Shibby,321,321,1.00,321,1.00
TP-Link,2602,1978,0.76,1902,0.96
Trendnet,432,431,1.00,431,1.00
Ubiquiti,1218,1156,0.95,1156,1.00
Xerox,146,146,1.00,146,1.00
Actiontec,0,0,0,0,0
Airlink101,0,0,0,0,0
Att,0,0,0,0,0
Belkin,0,0,0,0,0
Camius,0,0,0,0,0
Centurylink,0,0,0,0,0
Huawei,0,0,0,0,0
Netcore,0,0,0,0,0
Openwireless,0,0,0,0,0
Phicomm,0,0,0,0,0
Polycom,0,0,0,0,0
Seiki,0,0,0,0,0
Tenvis,0,0,0,0,0
Verizon,0,0,0,0,0
Zyxel,0,0,0,0,0
