vendor,total_bins,_3rdparty_total_bins,mips,arm,intel80386,x86-64,powerpc,_3rdparty_right_cnt,mips-2,arm-2,intel80386-2,x86-64-2,powerpc-2
360,1470,351,351,0,0,0,0,134,134,0,0,0,0
Asus,10911,795,584,211,0,0,0,469,333,136,0,0,0
Buffalo,280,112,112,0,0,0,0,51,51,0,0,0,0
Dlink,16034,2780,544,339,0,34,1863,376,148,228,0,0,0
Foscam,45,23,0,23,0,0,0,11,0,11,0,0,0
Linksys,3118,900,204,696,0,0,0,30,30,0,0,0,0
Mercury,43,0,0,0,0,0,0,0,0,0,0,0,0
Microstrain,0,0,0,0,0,0,0,0,0,0,0,0,0
Mikrotik,3994,327,156,104,67,0,0,28,9,6,13,0,0
Netgear,17083,3565,1984,1487,0,0,94,1429,866,560,0,0,3
Qnap,509,146,29,117,0,0,0,96,27,69,0,0,0
Se,62,0,0,0,0,0,0,0,0,0,0,0,0
0Supermicro,8577,1239,0,1239,0,0,0,164,0,164,0,0,0
Synology,3138,1354,0,1354,0,0,0,693,0,693,0,0,0
Tenda,7450,1067,674,393,0,0,0,383,249,134,0,0,0
Ti,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomato-Shibby,16128,8797,7834,963,0,0,0,5429,4923,506,0,0,0
Tp-Link,43500,6551,4018,2533,0,0,0,2765,1694,1071,0,0,0
Trendnet,6397,2457,2042,403,12,0,0,1238,1003,235,0,0,0
Ubiquiti,132116,13872,10400,3472,0,0,0,3706,1964,1742,0,0,0
Xerox,2593,0,0,0,0,0,0,0,0,0,0,0,
